You entered a buffer length of 20
2.195186,-1.238667, Max:2.243202, Min:-1.760158
2.207190,-1.029822, Max:2.243202, Min:-1.760158
2.213192,-0.822213, Max:2.243202, Min:-1.760158
2.213192,-0.612865, Max:2.243202, Min:-1.760158
2.213192,-0.404630, Max:2.243202, Min:-1.760158
2.213192,-0.196452, Max:2.243202, Min:-1.760158
2.213192,0.011725, Max:2.243202, Min:-1.760158
2.219194,0.220201, Max:2.243202, Min:-1.760158
2.213192,0.428092, Max:2.243202, Min:-1.760158
2.213192,0.636254, Max:2.243202, Min:-1.760158
2.213192,0.844429, Max:2.243202, Min:-1.760158
2.213192,1.052605, Max:2.243202, Min:-1.760158
2.195186,1.252978, Max:2.243202, Min:-1.760158
1.919092,1.430754, Max:2.243202, Min:-1.760158
1.564972,1.601998, Max:2.243202, Min:-1.760158
1.222856,1.774416, Max:2.243202, Min:-1.760158
0.904748,1.949593, Max:2.243202, Min:-1.760158
0.610648,2.127310, Max:2.243202, Min:-1.760158
0.334554,2.208520, Max:2.243202, Min:-1.760158
-0.031571,2.082936, Max:2.243202, Min:-1.760158
-0.127603,1.945813, Max:2.243202, Min:-1.760158
-0.319669,1.804211, Max:2.243202, Min:-1.760158
-0.511734,1.662085, Max:2.243202, Min:-1.760158
-0.661785,1.525034, Max:2.243202, Min:-1.760158
-0.775824,1.390939, Max:2.243202, Min:-1.760158
-0.883860,1.256991, Max:2.243202, Min:-1.760158
-1.003901,1.122150, Max:2.243202, Min:-1.760158
-1.147950,0.984863, Max:2.243202, Min:-1.760158
-1.285997,0.846854, Max:2.243202, Min:-1.760158
-1.466058,0.705208, Max:2.243202, Min:-1.760158
-1.646120,0.566081, Max:2.243202, Min:-1.760158
-1.748154,0.435482, Max:2.243202, Min:-1.760158
-1.754156,0.311913, Max:2.243202, Min:-1.760158
-1.760158,0.189295, Max:2.243202, Min:-1.760158
-1.760158,0.067024, Max:2.243202, Min:-1.760158
-1.760158,-0.055229, Max:2.243202, Min:-1.760158
-1.760158,-0.177481, Max:2.243202, Min:-1.760158
-1.760158,-0.299733, Max:2.243202, Min:-1.760158
-1.760158,-0.224218, Max:2.243202, Min:-1.760158
-1.760158,-0.302070, Max:2.243202, Min:-1.760158
-1.760158,-0.387590, Max:2.243202, Min:-1.760158
-1.760158,-0.473494, Max:2.243202, Min:-1.760158
-1.760158,-0.559417, Max:2.243202, Min:-1.760158
-1.760158,-0.645341, Max:2.243202, Min:-1.760158
-1.760158,-0.730364, Max:2.243202, Min:-1.760158
-1.700138,-0.808741, Max:2.243202, Min:-1.760158
-1.598103,-0.884084, Max:2.243202, Min:-1.760158
-1.508073,-0.960476, Max:2.243202, Min:-1.760158
-1.394034,-1.033919, Max:2.243202, Min:-1.760158
-1.255987,-1.104514, Max:2.243202, Min:-1.760158
-1.105936,-1.174066, Max:2.243202, Min:-1.760158
-0.907869,-1.237264, Max:2.243202, Min:-1.760158
-0.613769,-1.288140, Max:2.243202, Min:-1.760158
-0.121601,-1.319194, Max:2.243202, Min:-1.760158
0.526619,-1.330950, Max:2.243202, Min:-1.760158
1.468940,-1.322534, Max:2.243202, Min:-1.760158
2.021127,-1.362027, Max:2.243202, Min:-1.760158
2.159174,-1.435126, Max:2.243202, Min:-1.760158
2.195186,-1.634147, Max:2.243202, Min:-1.760158
