20Fast ,100Fast,turtle100,turtle
0.729063,0.729063,1.192667,1.192667
0.78325,0.78325,1.234813,1.234813
0.729063,0.729063,1.282979,1.282979
0.620688,0.620688,1.331146,1.331146
0.319646,0.319646,1.409417,1.409417
0.20525,0.20525,1.499729,1.499729
0.145042,0.145042,1.590042,1.590042
0.084834,0.084834,1.614125,1.614125
-0.041604,-0.041604,1.632187,1.632187
-0.131916,-0.131916,1.614125,1.614125
-0.180083,-0.180083,1.590042,1.590042
-0.216208,-0.216208,1.565958,1.565958
-0.22825,-0.22825,1.511771,1.511771
-0.216208,-0.216208,1.475646,1.475646
-0.192125,-0.192125,1.427479,1.427479
-0.180083,-0.180083,1.397375,1.397375
-0.186104,-0.186104,1.367271,1.367271
-0.210187,-0.210187,1.325125,1.325125
-0.234271,-0.234271,1.276958,1.276958
-0.252333,-0.252333,1.246854,1.246854
-0.276416,-0.276416,1.204708,1.204708
-0.306521,-0.306521,1.240833,1.240833
-0.330604,-0.330604,1.234813,1.234813
-0.354687,-0.354687,1.228792,1.228792
-0.366729,-0.366729,1.234813,1.234813
-0.366729,-0.366729,1.234813,1.234813
-0.348666,-0.354687,1.228792,1.222771
-0.336625,-0.336625,1.210729,1.210729
-0.306521,-0.306521,1.186646,1.186646
-0.282437,-0.282437,1.162563,1.162563
-0.252333,-0.252333,1.132458,1.132458
-0.246312,-0.246312,1.114396,1.114396
-0.22825,-0.22825,1.096333,1.096333
-0.204166,-0.204166,1.066229,1.066229
-0.186104,-0.186104,1.030104,1.030104
-0.168041,-0.168041,0.993979,0.993979
-0.149979,-0.149979,0.951833,0.951833
-0.162021,-0.162021,0.92775,0.92775
-0.156,-0.156,0.891625,0.891625
-0.131916,-0.131916,0.8555,0.8555
-0.107833,-0.107833,0.813354,0.813354
-0.08375,-0.08375,0.765188,0.765188
-0.071708,-0.071708,0.717021,0.717021
-0.08375,-0.08375,0.668854,0.668854
-0.08375,-0.08375,0.626708,0.626708
-0.113854,-0.113854,0.590583,0.590583
-0.174062,-0.143958,0.530375,0.49425
-0.168041,-0.168041,0.458125,0.458125
-0.198146,-0.198146,0.403938,0.403938
-0.204166,-0.204166,0.361792,0.361792
-0.204166,-0.204166,0.343729,0.343729
-0.192125,-0.192125,0.337708,0.337708
-0.198146,-0.198146,0.319646,0.319646
-0.210187,-0.210187,0.331688,0.331688
-0.192125,-0.192125,0.343729,0.343729
-0.131916,-0.131916,0.373834,0.373834
-0.017521,-0.017521,0.391896,0.391896
0.139021,0.139021,0.409958,0.409958
0.2775,0.2775,0.403938,0.403938
0.409958,0.409958,0.367813,0.367813
0.536396,0.536396,0.379854,0.379854
0.686917,0.686917,0.379854,0.379854
0.825396,0.825396,0.385875,0.385875
0.771208,0.771208,0.379854,0.379854
0.620688,0.620688,0.361792,0.361792
0.578542,0.578542,0.343729,0.343729
0.680896,0.644771,0.325667,0.319646
0.711,0.711,0.307604,0.307604
0.542417,0.542417,0.289542,0.289542
0.157084,0.157084,0.2775,0.2775
-0.143958,-0.143958,0.2775,0.2775
-0.264375,-0.264375,0.283521,0.283521
-0.276416,-0.276416,0.301584,0.301584
-0.258354,-0.258354,0.319646,0.319646
-0.252333,-0.252333,0.337708,0.337708
-0.246312,-0.246312,0.379854,0.379854
-0.22825,-0.22825,0.446083,0.446083
-0.216208,-0.216208,0.518333,0.518333
-0.216208,-0.216208,0.578542,0.578542
-0.22825,-0.22825,0.596604,0.596604
-0.240291,-0.240291,0.602625,0.602625
-0.22825,-0.22825,0.578542,0.578542
-0.22825,-0.22825,0.542417,0.542417
-0.222229,-0.222229,0.530375,0.530375
-0.258354,-0.258354,0.506292,0.506292
-0.294479,-0.294479,0.470167,0.470167
