You entered a buffer length of 100
0.292539,0.889638, Max:1.336895, Min:-0.007563
0.268531,0.883274, Max:1.336895, Min:-0.007563
0.286537,0.877628, Max:1.336895, Min:-0.007563
0.310546,0.872050, Max:1.336895, Min:-0.007563
0.334554,0.866592, Max:1.336895, Min:-0.007563
0.346558,0.861016, Max:1.336895, Min:-0.007563
0.412580,0.855978, Max:1.336895, Min:-0.007563
0.442590,0.850586, Max:1.336895, Min:-0.007563
0.478603,0.845190, Max:1.336895, Min:-0.007563
0.514615,0.839855, Max:1.336895, Min:-0.007563
0.538623,0.834219, Max:1.336895, Min:-0.007563
0.550627,0.828401, Max:1.336895, Min:-0.007563
0.556629,0.822401, Max:1.336895, Min:-0.007563
0.562631,0.816339, Max:1.336895, Min:-0.007563
0.550627,0.810096, Max:1.336895, Min:-0.007563
0.538623,0.803792, Max:1.336895, Min:-0.007563
0.520617,0.797366, Max:1.336895, Min:-0.007563
0.508613,0.790940, Max:1.336895, Min:-0.007563
0.478603,0.784273, Max:1.336895, Min:-0.007563
0.448593,0.777664, Max:1.336895, Min:-0.007563
0.418582,0.770996, Max:1.336895, Min:-0.007563
0.382570,0.764147, Max:1.336895, Min:-0.007563
0.346558,0.757356, Max:1.336895, Min:-0.007563
0.310546,0.750566, Max:1.336895, Min:-0.007563
0.280535,0.743956, Max:1.336895, Min:-0.007563
0.262529,0.737528, Max:1.336895, Min:-0.007563
0.244523,0.731101, Max:1.336895, Min:-0.007563
0.226517,0.724735, Max:1.336895, Min:-0.007563
0.220515,0.718609, Max:1.336895, Min:-0.007563
0.220515,0.712546, Max:1.336895, Min:-0.007563
0.232519,0.706663, Max:1.336895, Min:-0.007563
0.226517,0.700542, Max:1.336895, Min:-0.007563
0.220515,0.694299, Max:1.336895, Min:-0.007563
0.214513,0.688295, Max:1.336895, Min:-0.007563
0.202509,0.681812, Max:1.336895, Min:-0.007563
0.196507,0.675505, Max:1.336895, Min:-0.007563
0.172499,0.668960, Max:1.336895, Min:-0.007563
0.142488,0.662593, Max:1.336895, Min:-0.007563
0.160495,0.656767, Max:1.336895, Min:-0.007563
0.172499,0.651067, Max:1.336895, Min:-0.007563
0.196507,0.645308, Max:1.336895, Min:-0.007563
0.220515,0.639908, Max:1.336895, Min:-0.007563
0.244523,0.634213, Max:1.336895, Min:-0.007563
0.244523,0.628214, Max:1.336895, Min:-0.007563
0.226517,0.621791, Max:1.336895, Min:-0.007563
0.214513,0.615125, Max:1.336895, Min:-0.007563
0.154493,0.607856, Max:1.336895, Min:-0.007563
0.088470,0.600281, Max:1.336895, Min:-0.007563
-0.001561,0.592342, Max:1.336895, Min:-0.055579
-0.067583,0.585000, Max:1.336895, Min:-0.115599
-0.169618,0.576944, Max:1.336895, Min:-0.211632
-0.271652,0.568821, Max:1.336895, Min:-0.313667
-0.355681,0.560997, Max:1.336895, Min:-0.403697
-0.445711,0.553116, Max:1.336895, Min:-0.493728
-0.523738,0.545595, Max:1.336895, Min:-0.559750
-0.577756,0.538617, Max:1.336895, Min:-0.595762
-0.607767,0.532005, Max:1.336895, Min:-0.619771
-0.619771,0.525877, Max:1.336895, Min:-0.619771
-0.601765,0.520294, Max:1.336895, Min:-0.619771
-0.559750,0.515136, Max:1.336895, Min:-0.619771
-0.505732,0.510283, Max:1.336895, Min:-0.619771
-0.433707,0.505673, Max:1.336895, Min:-0.619771
-0.373687,0.500765, Max:1.336895, Min:-0.619771
-0.331673,0.495434, Max:1.336895, Min:-0.619771
-0.301663,0.489859, Max:1.336895, Min:-0.619771
-0.295660,0.483801, Max:1.336895, Min:-0.619771
-0.301663,0.477619, Max:1.336895, Min:-0.619771
-0.319669,0.471075, Max:1.336895, Min:-0.619771
-0.361683,0.464167, Max:1.336895, Min:-0.619771
-0.391693,0.457316, Max:1.336895, Min:-0.619771
-0.457716,0.449985, Max:1.336895, Min:-0.619771
-0.517736,0.442769, Max:1.336895, Min:-0.619771
-0.565752,0.435734, Max:1.336895, Min:-0.619771
-0.607767,0.429002, Max:1.336895, Min:-0.619771
-0.619771,0.422752, Max:1.336895, Min:-0.619771
-0.613769,0.416988, Max:1.336895, Min:-0.619771
-0.589760,0.411648, Max:1.336895, Min:-0.619771
-0.511734,0.407154, Max:1.336895, Min:-0.619771
-0.439709,0.402547, Max:1.336895, Min:-0.619771
-0.349679,0.398119, Max:1.336895, Min:-0.619771
-0.271652,0.393814, Max:1.336895, Min:-0.619771
-0.199628,0.389149, Max:1.336895, Min:-0.619771
-0.133605,0.384301, Max:1.336895, Min:-0.619771
-0.097593,0.379031, Max:1.336895, Min:-0.619771
-0.049577,0.373816, Max:1.336895, Min:-0.619771
-0.025569,0.368062, Max:1.336895, Min:-0.619771
-0.019567,0.362122, Max:1.336895, Min:-0.619771
-0.025569,0.355881, Max:1.336895, Min:-0.619771
-0.037573,0.349636, Max:1.336895, Min:-0.619771
-0.037573,0.343512, Max:1.336895, Min:-0.619771
-0.043575,0.337449, Max:1.336895, Min:-0.619771
-0.037573,0.331506, Max:1.336895, Min:-0.619771
-0.037573,0.325265, Max:1.336895, Min:-0.619771
