You entered a buffer length of 20
-0.583479,-0.262433, Max:1.499729, Min:-1.396291
-0.607562,-0.293452, Max:1.499729, Min:-1.396291
-0.613583,-0.322096, Max:1.499729, Min:-1.396291
-0.589500,-0.348214, Max:1.499729, Min:-1.396291
-0.547354,-0.372098, Max:1.499729, Min:-1.396291
-0.493166,-0.395569, Max:1.499729, Min:-1.396291
-0.445000,-0.419321, Max:1.499729, Min:-1.396291
-0.396833,-0.443087, Max:1.499729, Min:-1.396291
-0.342646,-0.466251, Max:1.499729, Min:-1.396291
-0.288458,-0.489385, Max:1.499729, Min:-1.396291
-0.246312,-0.499573, Max:1.499729, Min:-1.396291
-0.174062,-0.480816, Max:1.499729, Min:-1.396291
-0.149979,-0.459106, Max:1.499729, Min:-1.396291
-0.089771,-0.435141, Max:1.499729, Min:-1.396291
-0.023541,-0.410462, Max:1.499729, Min:-1.396291
0.024625,-0.387553, Max:1.499729, Min:-1.396291
0.078813,-0.364733, Max:1.499729, Min:-1.396291
0.120959,-0.341917, Max:1.499729, Min:-1.396291
0.175146,-0.318499, Max:1.499729, Min:-1.396291
0.235354,-0.294148, Max:1.499729, Min:-1.396291
0.313625,-0.267944, Max:1.499729, Min:-1.396291
0.397917,-0.241647, Max:1.499729, Min:-1.396291
